step,t,phase,move,move_name,trunk_z,trunk_roll,trunk_pitch,trunk_vz,trunk_roll_rate
207,4.1400,1.608373,1,weight_shift,0.115444,-0.003526,-0.004967,0.000204,0.002909
208,4.1600,1.859617,1,weight_shift,0.115452,-0.003496,-0.005261,0.000202,-0.000661
209,4.1800,2.110860,1,weight_shift,0.115454,-0.003554,-0.005401,-0.000006,-0.002777
210,4.2000,2.362104,1,weight_shift,0.115455,-0.003592,-0.005588,0.000175,-0.001396
211,4.2200,2.613348,1,weight_shift,0.115456,-0.003671,-0.005658,-0.000082,-0.004165
212,4.2400,2.864591,1,weight_shift,0.115452,-0.003744,-0.005656,-0.000280,-0.003331
213,4.2600,3.115835,1,weight_shift,0.115463,-0.003686,-0.005471,0.000778,0.003403
214,4.2800,-2.916107,1,weight_shift,0.115452,-0.003725,-0.004962,-0.000945,-0.005790
215,4.3000,-2.664863,1,weight_shift,0.115436,-0.003793,-0.004358,-0.000478,-0.005719
216,4.3200,-2.413619,1,weight_shift,0.115424,-0.003880,-0.003578,-0.000653,-0.006206
217,4.3400,-2.162376,1,weight_shift,0.115413,-0.003887,-0.002802,-0.000180,0.001938
218,4.3600,-1.911132,1,weight_shift,0.115410,-0.003854,-0.001955,-0.000209,-0.000930
219,4.3800,-1.659889,1,weight_shift,0.115406,-0.003774,-0.001095,-0.000186,0.002441
220,4.4000,-1.408645,1,weight_shift,0.115404,-0.003652,-0.000516,0.000116,0.003245
221,4.4200,-1.157401,1,weight_shift,0.115404,-0.003621,-0.000113,-0.000073,-0.000205
222,4.4400,-0.906158,1,weight_shift,0.115401,-0.003603,0.000032,-0.000179,0.000836
223,4.4600,-0.654914,1,weight_shift,0.115398,-0.003585,-0.000086,-0.000144,0.001455
224,4.4800,-0.403670,1,weight_shift,0.115401,-0.003558,-0.000315,0.000120,-0.000587
225,4.5000,-0.152427,1,weight_shift,0.115401,-0.003603,-0.000678,-0.000004,-0.000931
226,4.5200,0.098817,1,weight_shift,0.115402,-0.003657,-0.001285,-0.000017,-0.000448
227,4.5400,0.350061,1,weight_shift,0.115407,-0.003663,-0.001965,0.000209,-0.000481
228,4.5600,0.601304,1,weight_shift,0.115410,-0.003725,-0.002640,0.000114,-0.000460
229,4.5800,0.852548,1,weight_shift,0.115416,-0.003720,-0.003424,0.000480,0.004297
230,4.6000,1.103791,1,weight_shift,0.115424,-0.003698,-0.003998,0.000325,0.002547
231,4.6200,1.355035,1,weight_shift,0.115432,-0.003647,-0.004483,0.000767,0.007297
232,4.6400,1.606279,1,weight_shift,0.115442,-0.003591,-0.004838,0.000324,0.002269
233,4.6600,1.857522,1,weight_shift,0.115445,-0.003600,-0.005070,0.000039,-0.000634
234,4.6800,2.108766,1,weight_shift,0.115451,-0.003620,-0.005276,0.000128,-0.002668
235,4.7000,2.360010,1,weight_shift,0.115451,-0.003692,-0.005418,-0.000052,-0.002912
236,4.7200,2.611253,1,weight_shift,0.115452,-0.003720,-0.005598,0.000152,-0.000699
237,4.7400,2.862497,1,weight_shift,0.115451,-0.003780,-0.005567,-0.000208,-0.003561
238,4.7600,3.113741,1,weight_shift,0.115451,-0.003777,-0.005349,0.000508,0.003843
239,4.7800,-2.918201,1,weight_shift,0.115458,-0.003648,-0.004917,-0.000465,-0.002659
240,4.8000,-2.666957,1,weight_shift,0.115438,-0.003739,-0.004222,-0.001113,-0.007757
241,4.8200,-2.415714,1,weight_shift,0.115425,-0.003811,-0.003520,-0.000446,-0.006954
242,4.8400,-2.164470,1,weight_shift,0.115414,-0.003870,-0.002697,-0.000576,-0.004240
243,4.8600,-1.913227,1,weight_shift,0.115407,-0.003820,-0.001923,-0.000014,0.001038
244,4.8800,-1.661983,1,weight_shift,0.115405,-0.003748,-0.001089,-0.000136,0.001752
245,4.9000,-1.410739,1,weight_shift,0.115401,-0.003642,-0.000393,-0.000211,0.003174
246,4.9200,-1.159496,1,weight_shift,0.115400,-0.003543,-0.000085,0.000120,0.002658
247,4.9400,-0.908252,1,weight_shift,0.115400,-0.003541,0.000077,-0.000061,-0.000762
248,4.9600,-0.657008,1,weight_shift,0.115398,-0.003543,0.000040,-0.000157,0.000486
249,4.9800,-0.405765,1,weight_shift,0.115395,-0.003548,-0.000282,-0.000083,0.000762
250,5.0000,-0.154521,1,weight_shift,0.115399,-0.003536,-0.000735,0.000209,-0.000508
251,5.0200,0.096723,1,weight_shift,0.115402,-0.003605,-0.001275,0.000075,-0.001767
252,5.0400,0.347966,1,weight_shift,0.115403,-0.003675,-0.001970,-0.000012,-0.000505
253,5.0600,0.599210,1,weight_shift,0.115409,-0.003677,-0.002732,0.000247,0.000590
254,5.0800,0.850453,1,weight_shift,0.115413,-0.003710,-0.003408,0.000177,0.001118
255,5.1000,1.101697,1,weight_shift,0.115423,-0.003668,-0.004073,0.000500,0.004338
256,5.1200,1.352941,1,weight_shift,0.115431,-0.003626,-0.004554,0.000327,0.003332
257,5.1400,1.604184,1,weight_shift,0.115440,-0.003564,-0.004983,0.000586,0.004714
258,5.1600,1.855428,1,weight_shift,0.115446,-0.003561,-0.005227,0.000128,-0.001230
259,5.1800,2.106672,1,weight_shift,0.115449,-0.003598,-0.005402,0.000362,0.001441
260,5.2000,2.357915,1,weight_shift,0.115451,-0.003662,-0.005516,0.000043,-0.003821
261,5.2200,2.609159,1,weight_shift,0.115450,-0.003735,-0.005614,-0.000131,-0.002756
262,5.2400,2.860403,1,weight_shift,0.115451,-0.003758,-0.005679,0.000084,-0.002792
263,5.2600,3.111646,1,weight_shift,0.115455,-0.003768,-0.005455,0.000573,0.002631
264,5.2800,-2.920296,1,weight_shift,0.115455,-0.003706,-0.005005,-0.000730,-0.002690
265,5.3000,-2.669052,1,weight_shift,0.115441,-0.003769,-0.004407,-0.000849,-0.008599
266,5.3200,-2.417808,1,weight_shift,0.115422,-0.003877,-0.003593,-0.000899,-0.007078
267,5.3400,-2.166565,1,weight_shift,0.115414,-0.003907,-0.002777,-0.000379,-0.005031
268,5.3600,-1.915321,1,weight_shift,0.115405,-0.003899,-0.001871,-0.000438,-0.001048
269,5.3800,-1.664077,1,weight_shift,0.115401,-0.003796,-0.001116,0.000057,0.002999
270,5.4000,-1.412834,1,weight_shift,0.115400,-0.003720,-0.000398,-0.000133,0.001397
271,5.4200,-1.161590,1,weight_shift,0.115396,-0.003652,0.000031,-0.000187,0.001934
272,5.4400,-0.910346,1,weight_shift,0.115394,-0.003590,0.000101,0.000032,0.005825
273,5.4600,-0.659103,1,weight_shift,0.115395,-0.003582,0.000128,-0.000001,-0.000740
274,5.4800,-0.407859,1,weight_shift,0.115393,-0.003600,-0.000039,-0.000096,0.000018
275,5.5000,-0.156616,1,weight_shift,0.115393,-0.003626,-0.000543,-0.000016,0.000643
276,5.5200,0.094628,1,weight_shift,0.115398,-0.003618,-0.001166,0.000230,-0.000169
277,5.5400,0.345872,1,weight_shift,0.115401,-0.003686,-0.001792,0.000097,-0.001188
278,5.5600,0.597115,1,weight_shift,0.115405,-0.003715,-0.002597,0.000439,0.006004
279,5.5800,0.848359,1,weight_shift,0.115412,-0.003713,-0.003309,0.000299,0.001711
280,5.6000,1.099603,1,weight_shift,0.115418,-0.003704,-0.003907,0.000247,0.003382
281,5.6200,1.350846,1,weight_shift,0.115429,-0.003625,-0.004445,0.000457,0.004448
282,5.6400,1.602090,1,weight_shift,0.115436,-0.003582,-0.004846,0.000226,0.002961
